VARNAME,ARCNAME,SCANTIME,ARCTIME,ARCFACTOR,TLGTAGID,PROCVARNAME
A_4000_PWC10.Flowrate,ProcessValueArchive,1 second,1 second,10,1,A_4000_PWC10.OutFlowrate
A_4011_PWC10.InFlowrate,ProcessValueArchive,1 second,1 second,10,2,A_4011_PWC10.OutFlowrate
A_4002_PWC10.InFlowrate,ProcessValueArchive,1 second,1 second,10,4,A_4002_PWC10.OutFlowrate
A_4005_PWC10.InFlowrate,ProcessValueArchive,1 second,1 second,10,5,A_4005_PWC10.OutFlowrate
A_4008_PWC10.InFlowrate,ProcessValueArchive,1 second,1 second,10,6,A_4008_PWC10.OutFlowrate
A_4002_PWC10.OutFlowrate,Scale,1 second,1 second,1,7,A_4002_PWC10.OutFlowrate
B_4002_PWC10.OutFlowrate,ProcessValueArchive,1 second,1 second,10,8,B_4002_PWC10.OutFlowrate
B_4005_PWC10.OutFlowrate,ProcessValueArchive,1 second,1 second,10,9,B_4005_PWC10.OutFlowrate
B_4008_PWC10.OutFlowrate,ProcessValueArchive,1 second,1 second,10,10,B_4008_PWC10.OutFlowrate
B_4011_PWC10.OutFlowrate,ProcessValueArchive,1 second,1 second,10,11,B_4011_PWC10.OutFlowrate
B_4000_PWC10.OutFlowrate,ProcessValueArchive,1 second,1 second,10,12,B_4000_PWC10.OutFlowrate
