database_segment,ValueID,tag_name,VarType_code,CompressionMode
CPUPC01_WINCC#ROSHAN_TLG_F_202312202030_202412202030,1,ProcessValueArchive\A_4001_PWC10.Flowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202312202030_202412202030,2,ProcessValueArchive\A_4053_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202312202030_202412202030,4,ProcessValueArchive\A_4047_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202312202030_202412202030,5,ProcessValueArchive\A_4049_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202312202030_202412202030,6,ProcessValueArchive\A_4051_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202312202030_202412202030,7,Scale\A_4002_PWC10.OutFlowrate,0,5
CPUPC01_WINCC#ROSHAN_TLG_F_202312202030_202412202030,8,ProcessValueArchive\B_4002_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202312202030_202412202030,9,ProcessValueArchive\B_4005_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202312202030_202412202030,10,ProcessValueArchive\B_4008_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202312202030_202412202030,11,ProcessValueArchive\B_4011_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202312202030_202412202030,12,ProcessValueArchive\B_4000_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202412202030_202604242306,1,ProcessValueArchive\A_4001_PWC10.Flowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202412202030_202604242306,2,ProcessValueArchive\A_4053_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202412202030_202604242306,4,ProcessValueArchive\A_4047_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202412202030_202604242306,5,ProcessValueArchive\A_4049_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202412202030_202604242306,6,ProcessValueArchive\A_4051_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202412202030_202604242306,7,Scale\A_4002_PWC10.OutFlowrate,0,5
CPUPC01_WINCC#ROSHAN_TLG_F_202412202030_202604242306,8,ProcessValueArchive\B_4002_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202412202030_202604242306,9,ProcessValueArchive\B_4005_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202412202030_202604242306,10,ProcessValueArchive\B_4008_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202412202030_202604242306,11,ProcessValueArchive\B_4011_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_F_202412202030_202604242306,12,ProcessValueArchive\B_4000_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606112030_202606122030,1,ProcessValueArchive\A_4001_PWC10.Flowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606112030_202606122030,2,ProcessValueArchive\A_4053_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606112030_202606122030,4,ProcessValueArchive\A_4047_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606112030_202606122030,5,ProcessValueArchive\A_4049_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606112030_202606122030,6,ProcessValueArchive\A_4051_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606112030_202606122030,7,Scale\A_4002_PWC10.OutFlowrate,0,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606112030_202606122030,8,ProcessValueArchive\B_4002_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606112030_202606122030,9,ProcessValueArchive\B_4005_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606112030_202606122030,10,ProcessValueArchive\B_4008_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606112030_202606122030,11,ProcessValueArchive\B_4011_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606112030_202606122030,12,ProcessValueArchive\B_4000_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606122030_202606132030,1,ProcessValueArchive\A_4001_PWC10.Flowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606122030_202606132030,2,ProcessValueArchive\A_4053_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606122030_202606132030,4,ProcessValueArchive\A_4047_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606122030_202606132030,5,ProcessValueArchive\A_4049_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606122030_202606132030,6,ProcessValueArchive\A_4051_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606122030_202606132030,7,Scale\A_4002_PWC10.OutFlowrate,0,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606122030_202606132030,8,ProcessValueArchive\B_4002_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606122030_202606132030,9,ProcessValueArchive\B_4005_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606122030_202606132030,10,ProcessValueArchive\B_4008_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606122030_202606132030,11,ProcessValueArchive\B_4011_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606122030_202606132030,12,ProcessValueArchive\B_4000_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606132030_202606152030,1,ProcessValueArchive\A_4001_PWC10.Flowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606132030_202606152030,2,ProcessValueArchive\A_4053_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606132030_202606152030,4,ProcessValueArchive\A_4047_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606132030_202606152030,5,ProcessValueArchive\A_4049_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606132030_202606152030,6,ProcessValueArchive\A_4051_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606132030_202606152030,7,Scale\A_4002_PWC10.OutFlowrate,0,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606132030_202606152030,8,ProcessValueArchive\B_4002_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606132030_202606152030,9,ProcessValueArchive\B_4005_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606132030_202606152030,10,ProcessValueArchive\B_4008_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606132030_202606152030,11,ProcessValueArchive\B_4011_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606132030_202606152030,12,ProcessValueArchive\B_4000_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606152030_202606162030,1,ProcessValueArchive\A_4001_PWC10.Flowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606152030_202606162030,2,ProcessValueArchive\A_4053_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606152030_202606162030,4,ProcessValueArchive\A_4047_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606152030_202606162030,5,ProcessValueArchive\A_4049_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606152030_202606162030,6,ProcessValueArchive\A_4051_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606152030_202606162030,7,Scale\A_4002_PWC10.OutFlowrate,0,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606152030_202606162030,8,ProcessValueArchive\B_4002_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606152030_202606162030,9,ProcessValueArchive\B_4005_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606152030_202606162030,10,ProcessValueArchive\B_4008_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606152030_202606162030,11,ProcessValueArchive\B_4011_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606152030_202606162030,12,ProcessValueArchive\B_4000_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606162030_202606172030,1,ProcessValueArchive\A_4001_PWC10.Flowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606162030_202606172030,2,ProcessValueArchive\A_4053_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606162030_202606172030,4,ProcessValueArchive\A_4047_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606162030_202606172030,5,ProcessValueArchive\A_4049_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606162030_202606172030,6,ProcessValueArchive\A_4051_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606162030_202606172030,7,Scale\A_4002_PWC10.OutFlowrate,0,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606162030_202606172030,8,ProcessValueArchive\B_4002_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606162030_202606172030,9,ProcessValueArchive\B_4005_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606162030_202606172030,10,ProcessValueArchive\B_4008_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606162030_202606172030,11,ProcessValueArchive\B_4011_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606162030_202606172030,12,ProcessValueArchive\B_4000_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606172030_202606182030,1,ProcessValueArchive\A_4001_PWC10.Flowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606172030_202606182030,2,ProcessValueArchive\A_4053_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606172030_202606182030,4,ProcessValueArchive\A_4047_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606172030_202606182030,5,ProcessValueArchive\A_4049_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606172030_202606182030,6,ProcessValueArchive\A_4051_PWC10.InFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606172030_202606182030,7,Scale\A_4002_PWC10.OutFlowrate,0,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606172030_202606182030,8,ProcessValueArchive\B_4002_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606172030_202606182030,9,ProcessValueArchive\B_4005_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606172030_202606182030,10,ProcessValueArchive\B_4008_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606172030_202606182030,11,ProcessValueArchive\B_4011_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606172030_202606182030,12,ProcessValueArchive\B_4000_PWC10.OutFlowrate,19,5
CPUPC01_WINCC#ROSHAN_TLG_S_202606182030_202606182030,1,ProcessValueArchive\A_4001_PWC10.Flowrate,19,5
